licensor,licensee,asset,moa,ta,phase,region,upfront_musd,milestone_musd,total_musd,date,year,source_url,subtype,structure
石药集团,阿斯利康,Metabolic / obesity & T2,—,Cardiovascular/Metabolic,—,—,1200.0,17300.0,18500.0,2026-01,2026,https://www.biopharmadive.com/news/astrazeneca-obesity-deal-china-cspc-ai/810942/,BD-collaboration,License-out
恒瑞医药,GSK,HRS-9821,PDE3/4抑制剂,慢阻塞肺病/肿瘤,Ⅰ期,全球,500.0,12000.0,12500.0,2025-07,2025,,BD,License-out
信达生物,武田制药,IBI363/343/301,PD-1 x IL-2α-bias/ CLDN18.2 双抗等,肿瘤,Ⅱ/Ⅲ期,全球（除中国）,1200.0,10200.0,11400.0,2025-10,2025,,BD,Co-Co
BioNTech,百时美施贵宝,BNT327,PD-L1 × VEGF-A 双抗,肿瘤,Ⅲ期,全球,1500.0,9600.0,11100.0,2025-06,2025,,BD,License-out
信达生物,辉瑞,Oncology (12 early-stage,—,Oncology,—,—,650.0,9850.0,10500.0,2026-05,2026,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic,BD-collaboration,Co-Co
信达生物,礼来,Oncology + immunology (j,—,Oncology,—,—,350.0,8500.0,8850.0,2026-02,2026,https://www.prnewswire.com/news-releases/innovent-announces-strategic-collaboration-with-lilly-to-develop-new-medicines-globally-in-oncology-and-immunology-302682009.html,BD-collaboration,License-out
三生制药,辉瑞,SSGJ-707,PD-1 × VEGF 双抗,肿瘤,Ⅰ/Ⅱ期,全球（除中国，含中国期权）,1250.0,4800.0,6050.0,2025-05,2025,,BD,License-out
晶泰科技,DoveTree,AI药物发现平台,AI制药,IO/CNS,临床前,全球,51.0,5939.0,5990.0,2025-06,2025,,BD,License-out
Monte Rosa Therapeutics,Novartis,分子胶降解剂药物,未公开,免疫介导疾病,临床前,全球,120.0,5580.0,5700.0,2025-09,2025,,BD,License-out
荣昌生物,艾伯维,Oncology (advanced solid,—,Oncology,—,—,650.0,4950.0,5600.0,2026-01,2026,https://news.abbvie.com/2026-01-12-AbbVie-and-RemeGen-Announce-Exclusive-Licensing-Agreement-to-Develop-A-Novel-Bispecific-Antibody-for-Advanced-Solid-Tumors,BD-license,License-out
舶望制药,Novartis,ANGPTL3,RNA疗法,代谢/CVD,Ⅱ期,全球（除中国）,160.0,5200.0,5360.0,2025-09,2025,,BD,License-out
石药集团,AstraZeneca,AI药物发现平台,AI制药,自免疾病,临床前,全球,110.0,5220.0,5330.0,2025-06,2025,,BD,License-out
Zealand,罗氏,Petrelintide,胰淀素类似物,代谢,Ⅱb期,全球,1650.0,3600.0,5300.0,2025-03,2025,,BD,License-out
和铂医药,阿斯利康,未披露（战略合作）,未披露,肿瘤 / 自免,未披露,全球（除大中华区）,,4400.0,4680.0,2025-03,2025,,BD,License-out
荣昌生物,Vor BioPharma,泰它西普,Taci-Fc融合蛋白,自免疾病,批准上市,全球（除大中华区）,45.0,4105.0,4230.0,2025-06,2025,,BD,NewCo
Syneron,阿斯利康,未披露 + Synova 技术平台,口服大环肽,自免,未披露,全球,75.0,3400.0,3475.0,2025-03,2025,,BD,License-out
英矽智能 Insilico Medicine,礼来,AI drug discovery (oral ,—,Other,—,—,115.0,2635.0,2750.0,2026-03,2026,https://www.biopharmadive.com/news/eli-lilly-insilico-ai-medicine-drug-discovery/816088/,BD-license,License-out
ABL Bio,GSK,Grabody-B 技术平台,IGF1R 靶向血脑屏障穿透,中枢神经,临床前,全球,49.0,2652.0,2701.0,2025-04,2025,,BD,License-out
Earendil Labs,赛诺菲,HXN-1003,—,Immunology,—,—,160.0,2400.0,2560.0,2026-01,2026,https://www.prnewswire.com/news-releases/earendil-labs-announces-strategic-collaboration-with-sanofi-to-discover-bispecific-antibodies-for-autoimmune-diseases-302652305.html,BD-collaboration,License-out
先为达生物,Verdiva Bio,Ecnoglutide Oral,Amylin类似物/GLP-1,肥胖/2型糖尿病,Ⅰ期,全球（除大中华区，韩国）,70.0,2400.0,2470.0,2025-01,2025,,BD,NewCo
Gubra,艾伯维,GUB014295,Amylin类似物,肥胖/2型糖尿病,Ⅰ期,全球,350.0,1875.0,2225.0,2025-03,2025,,BD,License-out
Arrowhead Pharmaceuticals,诺华,ARO-SNCA,RNA疗法,神经退行性疾病,临床前,全球,200.0,2000.0,2200.0,2025-09,2025,,BD,License-out
Septerna,诺和诺德,多款口服小分子,GPCR 发现平台,代谢,先导筛选,全球,200.0,2000.0,2200.0,2025-05,2025,,BD,License-out
Quotient Therapeutics,默克,Immunology / inflammator,—,Immunology,—,—,20.0,2180.0,2200.0,2026-03,2026,https://quotient-tx.com/news/quotient-therapeutics-announces-collaboration-with-merck-to-discover-novel-drug-targets-in-inflammatory-bowel-disease-using-somatic-genomics-platform-technology,BD-collaboration,License-out
